original_paper_variable_names,GDC_format_variable_names,generated_column_type
idx,None,None
Proteomics_Participant_ID,case_submitter_id,case_submitter_id
Case_excluded,None,None
Proteomics_TMT_batch,None,None
Proteomics_TMT_plex,None,None
Proteomics_TMT_channel,None,None
Proteomics_Parent_Sample_IDs,None,None
Proteomics_Aliquot_ID,None,case_submitter_id
Proteomics_Tumor_Normal,None,None
Proteomics_OCT,None,None
Country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Histologic_Grade_FIGO,tumor_grade,tumor_grade
Myometrial_invasion_Specify,None,None
Histologic_type,primary_diagnosis,primary_diagnosis
Treatment_naive,None,None
Tumor_purity,None,None
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m,ajcc_clinical_m
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
FIGO_stage,figo_stage,figo_stage
LVSI,None,lymphatic_invasion_present
BMI,bmi,bmi
Age,age_at_diagnosis,age_at_diagnosis
Diabetes,None,None
Race,race,race
Ethnicity,ethnicity,ethnicity
Gender,gender,gender
Tumor_Site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Site_Other,None,None
Tumor_Focality,tumor_focality,tumor_focality
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
Estrogen_Receptor,None,None
Estrogen_Receptor_%,None,None
Progesterone_Receptor,None,None
Progesterone_Receptor_%,None,None
MLH1,None,None
MLH2,None,None
MSH6,None,None
PMS2,None,None
p53,None,None
Other_IHC_specify,None,tissue_type
MLH1_Promoter_Hypermethylation,None,None
Num_full_term_pregnancies,None,None
EPIC_Bcells,None,None
EPIC_CAFs,None,None
EPIC_CD4_Tcells,None,None
EPIC_CD8_Tcells,None,None
EPIC_Endothelial,None,None
EPIC_Macrophages,None,None
EPIC_NKcells,None,None
EPIC_otherCells,None,None
CIBERSORT_B _cells _naive,None,None
CIBERSORT_B _cells _memory,None,None
CIBERSORT_Plasma _cells,None,None
CIBERSORT_T _cells _CD8,None,None
CIBERSORT_T _cells _CD4 _naive,None,None
CIBERSORT_T _cells _CD4 _memory _resting,None,None
CIBERSORT_T _cells _CD4 _memory _activated,None,None
CIBERSORT_T _cells _follicular _helper,None,None
CIBERSORT_T _cells _regulatory _(Tregs),None,None
CIBERSORT_T _cells _gamma _delta,None,None
CIBERSORT_NK _cells _resting,None,None
CIBERSORT_NK _cells _activated,None,None
CIBERSORT_Monocytes,None,None
CIBERSORT_Macrophages _M0,None,None
CIBERSORT_Macrophages _M1,None,None
CIBERSORT_Macrophages _M2,None,None
CIBERSORT_Dendritic _cells _resting,None,None
CIBERSORT_Dendritic _cells _activated,None,None
CIBERSORT_Mast _cells _resting,None,None
CIBERSORT_Mast _cells _activated,None,None
CIBERSORT_Eosinophils,None,None
CIBERSORT_Neutrophils,None,None
CIBERSORT_Absolute _score,None,None
ESTIMATE_StromalScore,None,None
ESTIMATE_ImmuneScore,None,None
ESTIMATE_ESTIMATEScore,None,None
Stemness_score,None,None
ER_ESR1,None,None
PR_PGR,None,None
Pathway_activity_EGFR,None,None
Pathway_activity_Hypoxia,None,None
Pathway_activity_JAK.STAT,None,None
Pathway_activity_MAPK,None,None
Pathway_activity_NFkB,None,None
Pathway_activity_PI3K,None,None
Pathway_activity_TGFb,None,None
Pathway_activity_TNFa,None,None
Pathway_activity_Trail,None,None
Pathway_activity_VEGF,None,None
Pathway_activity_p53,None,None
TP53_ATM,None,None
TP53_CHEK2,None,None
TP53_MDM4,None,None
TP53_RPS6KA3,None,None
TP53_TP53,None,None
TP53_pathway,None,None
PI3K_AKT1,None,None
PI3K_AKT2,None,None
PI3K_AKT3,None,None
PI3K_DEPDC5,None,None
PI3K_DEPTOR,None,None
PI3K_INPP4B,None,None
PI3K_MAPKAP1,None,None
PI3K_MLST8,None,None
PI3K_MTOR,None,None
PI3K_NPRL2,None,None
PI3K_NPRL3,None,None
PI3K_PDK1,None,None
PI3K_PIK3CA,None,None
PI3K_PIK3CB,None,None
PI3K_PIK3R1,None,None
PI3K_PIK3R2,None,None
PI3K_PPP2R1A,None,None
PI3K_PTEN,None,None
PI3K_RHEB,None,None
PI3K_RICTOR,None,None
PI3K_RPS6,None,None
PI3K_RPS6KB1,None,None
PI3K_RPTOR,None,None
PI3K_STK11,None,None
PI3K_TSC1,None,None
PI3K_TSC2,None,None
PI3K_pathway,None,None
HRD_BRCA1,None,None
HRD_BRCA2,None,None
HRD_BRCA1_or_BRCA2,None,None
CNV_DEL,None,None
CNV_AMP,None,None
CNV_class,None,None
CNV_idx,None,None
CNV_1q_DEL,None,None
CNV_3q_DEL,None,None
CNV_4q_DEL,None,None
CNV_1q_AMP,None,None
CNV_3q_AMP,None,None
CNV_4q_AMP,None,None
Purity_Immune,None,None
Purity_Cancer,None,None
Purity_Stroma,None,None
MSI_status,None,None
POLE_subtype,None,None
JAK1_MS_INDEL,None,None
JAK1_Mutation,None,None
Log2_variant_per_Mbp,None,None
Log2_SNP_per_Mbp,None,None
Log2_INDEL_per_Mbp,None,None
Log2_variant_total,None,None
Log2_SNP_total,None,None
Log2_INDEL_total,None,None
Genomics_subtype,None,None
Mutation_signature_C>A,None,None
Mutation_signature_C>G,None,None
Mutation_signature_C>T,None,None
Mutation_signature_T>C,None,None
Mutation_signature_T>A,None,None
Mutation_signature_T>G,None,None
WXS_normal_sample_type,None,tissue_type
WXS_normal_filename,None,tissue_type
WXS_normal_UUID,None,case_submitter_id
WXS_tumor_sample_type,None,tissue_type
WXS_tumor_filename,None,tissue_type
WXS_tumor_UUID,None,case_submitter_id
WGS_normal_sample_type,None,tissue_type
WGS_normal_UUID,None,case_submitter_id
WGS_tumor_sample_type,None,tissue_type
WGS_tumor_UUID,None,case_submitter_id
RNAseq_R1_sample_type,None,tissue_type
RNAseq_R1_filename,None,None
RNAseq_R1_UUID,None,None
RNAseq_R2_sample_type,None,tissue_type
RNAseq_R2_filename,None,None
RNAseq_R2_UUID,None,rnaseq_r2_uuid
miRNAseq_sample_type,None,tissue_type
miRNAseq_UUID,None,None
Methylation_available,None,None
Methylation_quality,None,None
