Study,Method,F1,Precision,Recall,RecallAtSizeofGroundTruth,Runtime(s)
Krug,JaccardDistanceMatcher,0,0.0,0.0,0.0,141.479
Krug,Coma,0.5,0.5,0.5,0.5,14.3382
Krug,ComaInstance,0.75,0.75,0.75,0.75,61.2664
Krug,SimilarityFlooding,0,0.0,0.0,0.0,2.4109
Krug,JaccardDistanceMatcher,0,0.0,0.0,0.0,141.6311
Krug,Coma,0.5,0.5,0.5,0.5,14.3207
Krug,ComaInstance,0.75,0.75,0.75,0.75,60.8869
Krug,SimilarityFlooding,0,0.0,0.0,0.0,2.3592
Krug,DistributionBased,0,0.0,0.0,0.0,9.5848
Krug,Cupid,0,0.0,0.0,0.0,40.9149
Clark,JaccardDistanceMatcher,0.5714285714285715,1.0,0.4,0.4666666666666667,7.4232
Clark,Coma,0.4,0.8,0.26666666666666666,0.4,11.5576
Clark,ComaInstance,0.5714285714285715,1.0,0.4,0.4666666666666667,27.6951
Clark,SimilarityFlooding,0,0.0,0.0,0.0,0.9611
Clark,DistributionBased,0.33333333333333337,1.0,0.2,0.26666666666666666,4.531
Clark,Cupid,0,0.0,0.0,0.0,25.2091
Vasaikar,JaccardDistanceMatcher,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.681
Vasaikar,Coma,0.35294117647058826,0.6,0.25,0.3333333333333333,5.9955
Vasaikar,ComaInstance,0.47058823529411764,0.8,0.3333333333333333,0.4166666666666667,15.4997
Vasaikar,SimilarityFlooding,0,0.0,0.0,0.0,1.3611
Vasaikar,DistributionBased,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,3.2377
Vasaikar,Cupid,0.23529411764705882,0.4,0.16666666666666666,0.16666666666666666,32.8586
Gillette,JaccardDistanceMatcher,0.21052631578947364,0.4,0.14285714285714285,0.14285714285714285,6.176
Gillette,Coma,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,4.6865
Gillette,ComaInstance,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,25.3262
Gillette,SimilarityFlooding,0.13333333333333333,0.125,0.14285714285714285,0.14285714285714285,2.1811
Gillette,DistributionBased,0.25,1.0,0.14285714285714285,0.14285714285714285,4.3597
Gillette,Cupid,0.3157894736842105,0.6,0.21428571428571427,0.21428571428571427,15.3985
Wang,JaccardDistanceMatcher,0,0.0,0.0,0.0,3.552
Wang,Coma,0.39999999999999997,0.8333333333333334,0.2631578947368421,0.2631578947368421,11.3701
Wang,ComaInstance,0.39999999999999997,0.8333333333333334,0.2631578947368421,0.2631578947368421,23.9284
Wang,SimilarityFlooding,0,0.0,0.0,0.0,2.1676
Wang,DistributionBased,0,0.0,0.0,0.0,6.0622
Wang,Cupid,0,0.0,0.0,0.0,49.5252
Satpathy,JaccardDistanceMatcher,0,0.0,0.0,0.0,6.1751
Satpathy,Coma,0.37499999999999994,0.6,0.2727272727272727,0.2727272727272727,12.4394
Satpathy,ComaInstance,0,0.0,0.0,0.0,39.2863
Satpathy,SimilarityFlooding,0,0.0,0.0,0.0,3.5263
Satpathy,DistributionBased,0.3076923076923077,1.0,0.18181818181818182,0.18181818181818182,6.6423
Satpathy,Cupid,0.25000000000000006,0.4,0.18181818181818182,0.18181818181818182,35.8448
Cao,JaccardDistanceMatcher,0,0.0,0.0,0.0,269.6575
Cao,Coma,0.2962962962962963,0.8,0.18181818181818182,0.22727272727272727,38.4117
Cao,JaccardDistanceMatcher,0,0.0,0.0,0.0,273.0475
Cao,JaccardDistanceMatcher,0,0.0,0.0,0.0,272.3557
Krug,Coma,0.5,0.5,0.5,0.5,13.7864
Clark,Coma,0.4,0.8,0.26666666666666666,0.4,11.7568
Vasaikar,Coma,0.35294117647058826,0.6,0.25,0.3333333333333333,6.0407
Gillette,Coma,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,4.0094
Wang,Coma,0.39999999999999997,0.8333333333333334,0.2631578947368421,0.2631578947368421,11.5248
Satpathy,Coma,0.37499999999999994,0.6,0.2727272727272727,0.2727272727272727,12.6525
