TargetColumn,Similarity,CandidateColumn
target_0,0.42320148731250173,McDermott_OneYearFollowUp_0
target_1,0.45846596809573115,McDermott_BaselineClinicalData_3
target_10,0.5945664309702391,McDermott_OneYearFollowUp_1
target_11,0.6184353588986715,McDermott_BaselineClinicalData_15
target_12,0.5541188952123627,McDermott_BaselineClinicalData_12
target_13,0.453917293888332,McDermott_OneYearFollowUp_49
target_14,0.5010521276429402,McDermott_BaselineClinicalData_9
target_15,0.6049717826593903,McDermott_OneYearFollowUp_1
target_16,0.31299244356744427,McDermott_BaselineClinicalData_5
target_2,0.8727293698884933,McDermott_BaselineClinicalData_5
target_3,0.8865531139559087,McDermott_BaselineClinicalData_6
target_4,0.9392409643359091,McDermott_BaselineClinicalData_4
target_5,0.7129223511055149,McDermott_OneYearFollowUp_5
target_6,0.4122220989416542,McDermott_BaselineClinicalData_12
target_7,0.41798457382346776,McDermott_BaselineClinicalData_12
target_8,0.5597747543313609,McDermott_OneYearFollowUp_70
target_9,0.8586023317317598,McDermott_BaselineClinicalData_14
