TargetColumn,Similarity,CandidateColumn
target_0,0.7365879319811768,Huang_Data_availabilty_0
target_1,0.5528751958985221,Huang_Meta_table_1
target_10,1.0,Huang_Meta_table_15
target_11,0.7109463893499525,Huang_Meta_table_16
target_12,0.4315100235378144,Huang_Meta_table_20
target_13,0.49629529671721717,Huang_Meta_table_17
target_14,0.5129051794866808,Huang_Meta_table_13
target_15,0.708351253539404,Huang_Meta_table_23
target_16,0.34815814671819934,Huang_TMT-set_4
target_2,0.5347657151372488,Huang_Meta_table_2
target_3,0.38550745432081046,Huang_Meta_table_2
target_4,1.0,Huang_Meta_table_2
target_5,0.4195015188869341,Huang_Meta_table_31
target_6,0.447078860662647,Huang_Meta_table_26
target_7,0.47635925396237666,Huang_Meta_table_26
target_8,0.6101607598370778,Huang_Meta_table_20
target_9,0.7502103182527254,Huang_Meta_table_23
