TargetColumn,Similarity,CandidateColumn
target_0,0.9091949842160542,Cao_TMT_labeling_scheme_2
target_1,0.5195905716676086,Cao_Clinical_data_4
target_10,1.0,Cao_Clinical_data_9
target_11,0.695191940384309,Cao_Clinical_data_10
target_12,0.5403997459563211,Cao_Clinical_data_17
target_13,0.47958289215177896,Cao_Proteins_phospho_glyco_IDs_4
target_14,0.4573667208638119,Cao_Clinical_data_11
target_15,0.5788115532968325,Cao_Clinical_data_10
target_16,0.29951062596759814,Cao_Molecular_phenotype_data_20
target_2,0.7209108058225134,Cao_Clinical_data_6
target_3,0.43006277548751926,Cao_Clinical_data_6
target_4,0.7661952434573879,Cao_Clinical_data_5
target_5,0.8793552805411567,Cao_Clinical_data_36
target_6,0.5967678794499744,Cao_Clinical_data_17
target_7,0.5290117100864564,Cao_circRNAforTumor_38
target_8,0.7641036618687703,Cao_Clinical_data_21
target_9,0.6294587929830088,Cao_Clinical_data_21
