TargetColumn,Similarity,CandidateColumn
target_0,0.8969793162742107,Wang_clinical_data_0
target_1,0.563212885870959,Wang_clinical_data_22
target_10,0.573295634179011,Wang_clinical_data_21
target_11,0.5558946097918712,Wang_clinical_data_12
target_12,0.49093969053200803,Wang_clinical_data_25
target_13,0.47945441493026775,Wang_clinical_data_0
target_14,0.4448786477619342,Wang_clinical_data_13
target_15,0.6062135238179682,Wang_clinical_data_19
target_16,0.28303110872825965,Wang_survival_analysis_0
target_2,0.7209108058225134,Wang_clinical_data_7
target_3,0.8348233265599655,Wang_clinical_data_8
target_4,0.9285774979291413,Wang_clinical_data_2
target_5,0.8132276602154693,Wang_clinical_data_16
target_6,0.506774577117763,Wang_clinical_data_25
target_7,0.5056811042242015,Wang_additional_annotations_32
target_8,0.46698195970109946,Wang_clinical_data_25
target_9,0.5932250728621539,Wang_additional_annotations_1
