TargetColumn,Similarity,CandidateColumn
target_0,0.4898286926749045,Vasaikar_B-ClinicalData_0
target_1,0.5528751958985223,Vasaikar_B-ClinicalData_11
target_10,0.6005787425015366,Vasaikar_B-ClinicalData_26
target_11,0.49112052800559247,Vasaikar_B-ClinicalData_26
target_12,0.4607884120275135,Vasaikar_B-ClinicalData_1
target_13,0.3735364173321474,Vasaikar_A-Annotation_5
target_14,0.43125950570854643,Vasaikar_B-ClinicalData_44
target_15,0.6728862510381481,Vasaikar_B-ClinicalData_26
target_16,0.504586138792739,Vasaikar_B-ClinicalData_17
target_2,0.5347657151372489,Vasaikar_B-ClinicalData_12
target_3,0.38550745432081057,Vasaikar_B-ClinicalData_12
target_4,1.0,Vasaikar_B-ClinicalData_12
target_5,0.9150849782916111,Vasaikar_B-ClinicalData_25
target_6,0.4166352360093247,Vasaikar_B-ClinicalData_15
target_7,0.38560301053403245,Vasaikar_B-ClinicalData_1
target_8,0.45276035231511436,Vasaikar_B-ClinicalData_17
target_9,0.6867536688815484,Vasaikar_B-ClinicalData_26
