TargetColumn,Similarity,CandidateColumn
target_0,0.4285283966981629,McDermott_BaselineClinicalData_0
target_1,0.4876063163277924,McDermott_BaselineClinicalData_3
target_10,0.5983549377053051,McDermott_OneYearFollowUp_1
target_11,0.650807052232024,McDermott_BaselineClinicalData_15
target_12,0.4587678196626821,McDermott_OneYearFollowUp_21
target_13,0.3043234433600004,McDermott_BaselineClinicalData_11
target_14,0.45544275033694137,McDermott_BaselineClinicalData_9
target_15,0.6011832700869857,McDermott_BaselineClinicalData_1
target_16,0.2558403535282441,McDermott_OneYearFollowUp_40
target_2,0.5831952796724339,McDermott_BaselineClinicalData_5
target_3,0.6323507549448816,McDermott_BaselineClinicalData_6
target_4,0.5747133492331281,McDermott_BaselineClinicalData_4
target_5,0.6743341854495641,McDermott_OneYearFollowUp_5
target_6,0.38178882449541274,McDermott_OneYearFollowUp_44
target_7,0.39047317316788455,McDermott_OneYearFollowUp_9
target_8,0.46459647566841666,McDermott_BaselineClinicalData_13
target_9,0.7275706900343333,McDermott_BaselineClinicalData_14
