TargetColumn,Similarity,CandidateColumn
target_0,0.46555009514609025,Dou_UCEC_CPTAC3_meta_table_V2.1_7
target_1,0.44952804350628095,Dou_UCEC_CPTAC3_meta_table_V2.1_24
target_10,0.9514792425570057,Dou_UCEC_CPTAC3_meta_table_V2.1_31
target_11,0.696955831931648,Dou_UCEC_CPTAC3_meta_table_V2.1_32
target_12,0.4277069085074843,Dou_UCEC_CPTAC3_meta_table_V2.1_16
target_13,0.4802851429316043,Dou_UCEC_CPTAC3_meta_table_V2.1_13
target_14,0.4868900366398994,Dou_UCEC_CPTAC3_meta_table_V2.1_30
target_15,0.6178839284420156,Dou_UCEC_CPTAC3_meta_table_V2.1_29
target_16,0.31299244356744427,Dou_UCEC_CPTAC3_meta_table_V2.1_26
target_2,0.8727293698884933,Dou_UCEC_CPTAC3_meta_table_V2.1_26
target_3,0.8865531139559087,Dou_UCEC_CPTAC3_meta_table_V2.1_27
target_4,0.9392409643359091,Dou_UCEC_CPTAC3_meta_table_V2.1_28
target_5,0.46145907879524495,Dou_UCEC_CPTAC3_meta_table_V2.1_142
target_6,0.4504881292429007,Dou_UCEC_CPTAC3_meta_table_V2.1_84
target_7,0.4389674363979963,Dou_UCEC_CPTAC3_meta_table_V2.1_84
target_8,0.5712153008469711,Dou_UCEC_CPTAC3_meta_table_V2.1_20
target_9,0.6670321366335139,Dou_UCEC_CPTAC3_meta_table_V2.1_20
