original_paper_variable_names,GDC_format_variable_names,generated_column_type
Stratification group,None,None
Group value,None,tumor_focality
n,None,lymph_nodes_positive
events,None,days_to_recurrence
median,None,None
0.95LCL,None,None
0.95UCL,None,tumor_largest_dimension_diameter
log-rank p-value,None,None
case,None,Case_ID
sample_type,None,tissue_type
multiomic,None,None
nmf_consensus,None,None
nmf_cluster_membership,None,None
rna_wang_cancer_cell_2017,None,None
mRNA_stemness_index,None,None
dna_methyl,None,None
dna_methyl_consensus,None,None
dna_methyl_mnp,None,None
is_gcimp,None,None
mgmt_methyl_stp27_prediction,None,None
mgmt_methyl_stp27_probability,None,None
mgmt_methyl_clinical_test,None,None
mgmt_methyl_clinical_test_method,None,None
immune,None,None
xcell_immune_score,None,None
xcell_stroma_score,None,None
xcell_microenvironment_score,None,None
telomere,None,None
mirna,None,None
ancestry_prediction,None,race
ancestry_prediction_afr_prob,None,None
ancestry_prediction_amr_prob,None,None
ancestry_prediction_eas_prob,None,None
ancestry_prediction_eur_prob,None,None
ancestry_prediction_sas_prob,None,None
wxs_total_mutation,None,None
wgs_total_mutation,None,None
EGFR_alter_status,None,None
PTEN_alter_status,None,None
TP53_alter_status,None,None
NF1_alter_status,None,None
PDGFRA_alter_status,None,None
PIK3CA_alter_status,None,None
BRAF_alter_status,None,None
RB1_alter_status,None,None
ATRX_alter_status,None,None
IDH1_alter_status,None,None
PIK3R1_alter_status,None,None
TERT_alter_status,None,None
chr7_amp,None,None
chr10_del,None,None
aliquot_id,None,Case_ID
sample_id,None,Case_ID
original_aliquot_id,None,Case_ID
batch,None,None
plex,None,None
tmt_channel,None,None
research_id,None,Case_ID
kids_first_id,None,Case_ID
clinical_status_at_collection_event,None,vital_status
case_id,case_submitter_id,Case_ID
age,age_at_diagnosis,age_at_diagnosis
gender,gender,gender
height,height,height
weight,weight,weight
bmi,bmi,bmi
country_of_origin,country_of_residence_at_enrollment,None
race,race,race
ethnicity,ethnicity,ethnicity
ethnicity_self_identify,None,ethnicity
smoking_history,tobacco_smoking_status,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality,biospecimen_laterality
tumor_site_curated,site_of_resection_or_biopsy;tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_site_curation_notes,None,None
follow_up_period,None,None
vital_status,vital_status,vital_status
path_diag_to_last_contact_days,days_to_last_follow_up,days_to_last_follow_up
path_diag_to_death_days,days_to_death,None
cause_of_death,cause_of_death,cause_of_death
lost_to_follow_up,None,last_known_disease_status
tumor_reoccur_after_treatment,progression_or_recurrence,progression_or_recurrence
path_diag_to_tumor_reoccur_days,days_to_recurrence,days_to_recurrence
expert_path_review,None,None
expert_path_review_num_segments,None,None
expert_path_review_details,None,None
excluded_in_downstream_analysis,None,None
exclusion_reason,None,None
