original_paper_variable_names,GDC_format_variable_names,generated_column_type
Sample.ID,None,Case_ID
Participant,case_submitter_id,Case_ID
Experiment,None,None
Channel,None,None
Type,tissue_type,tissue_type
Aliquot,None,None
Smoking.Status,can be inferred from tobacco_smoking_status,tobacco_smoking_status
Stage,None,ajcc_pathologic_stage
Region.of.Origin,None,race
Country.of.Origin,None,country_of_residence_at_enrollment
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,race
Height.cm,height,height
Weight.kg,weight,weight
BMI,bmi,bmi
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
Smoking.Score.WGS,None,None
Smoking.Signature.Fraction.WGS,None,None
Dominant.Signature.WGS.notSmoking.50perc,None,None
Dominant.Signature.Fraction.WGS.notSmoking,None,None
DNP.GG.to.TT.or.CC.to.AA.Count.WGS,None,None
NMF.consensus,None,None
NMF.cluster.membership,None,None
mRNA.Expression.Subtype.TCGA,None,None
mRNA.stemness.index,None,None
CIMP.status,None,None
Tumor.Purity.byESTIMATE.RNAseq,None,None
TSNet Purity,None,None
ESTIMATEScore,None,None
ESTIMATE ImmuneScore,None,None
ESTIMATE StromalScore,None,None
QC.status,None,None
TP53.mutation,None,None
KRAS.mutation,None,None
STK11.mutation,None,None
EGFR.mutation,None,None
KEAP1.mutation,None,None
RB1.mutation,None,None
BRAF.mutation,None,None
ARAF.mutation,None,None
ERBB2.mutation,None,None
TP53.mutation.status,None,None
KRAS.mutation.status,None,None
STK11.mutation.status,None,None
EGFR.mutation.status,None,None
KEAP1.mutation.status,None,None
RB1.mutation.status,None,None
BRAF.mutation.status,None,None
ARAF.mutation.status,None,None
ERBB2.mutation.status,None,None
Total.Mutation.Count.WGS,None,None
Mutation.Count.ExcludingINDELs.WGS,None,None
Total.DNP.Count.WGS,None,None
Number.somatic.mutations,None,None
Mutation.Signature.Activity.W1.COSMIC5,None,None
Mutation.Signature.Activity.W2.COSMIC4,None,None
Mutation.Signature.Activity.W3.COSMIC2,None,None
ALK.fusion,None,None
ROS1.fusion,None,None
RET.fusion,None,None
Putative.driver.mutation,None,None
Methylation.QC,None,None
Dominant.Histological.Subtype,primary_diagnosis,None
