original_paper_variable_names,GDC_format_variable_names,generated_column_type
Sample.ID,None,Case_ID
Sample.IDs,None,Case_ID
TMT.Plex,None,None
TMT.Channel,None,tissue_type
Tumor.Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Ischemia.Time.in.Minutes,None,None
PAM50,None,None
NMF.Cluster,None,None
NMF.Cluster.Membership.Score,None,None
Age.in.Month,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,ethnicity
ER.Updated.Clinical.Status,None,last_known_disease_status
PR.Clinical.Status,None,last_known_disease_status
ERBB2.Updated.Clinical.Status,None,None
TNBC.Updated.Clinical.Status,None,vital_status
ERBB2.Proteogenomic.Status,None,None
TOP2A.Proteogenomic.Status,None,None
ERBB2.Gene.Amplified,None,None
TOP2A.Gene.Amplified,None,None
ESTIMATE.TumorPurity,None,None
CIBERSORT.Absolute.Score,None,None
ESTIMATE.Immune.Score,None,None
xCell.Immune.Score,None,None
ESTIMATE.Stromal.Score,None,None
xCell.Stromal.Score,None,None
CD3.TILS.Status,None,None
CD3.TILS.Counts,None,None
Number.of.non.synonymous.Mutations,None,None
APOBEC.Signature,None,None
Chromosome.INstability.index.CIN.,None,None
Stemness.Score,None,None
TP53.Mutation.Type,None,None
PIK3CA.Mutation.Type,None,None
PTEN.Mutation.Type,None,None
MAP3K1.Mutation.Type,None,None
AKT1.Mutation.Type,None,None
GATA3.Mutation.Type,None,None
CBFB.Mutation.Type,None,None
KMT2C.Mutation.Type,None,None
SF3B1.Mutation.Type,None,None
ARID1A.Mutation.Type,None,None
MLLT4.Mutation.Type,None,None
TP53.Mutation.Status,None,None
PIK3CA.Mutation.Status,None,None
PTEN.Mutation.Status,None,None
MAP3K1.Mutation.Status,None,None
AKT1.Mutation.Status,None,None
GATA3.Mutation.Status,None,None
CBFB.Mutation.Status,None,None
KMT2C.Mutation.Status,None,None
SF3B1.Mutation.Status,None,None
ARID1A.Mutation.Status,None,None
MLLT4.Mutation.Status,None,None
ACGT tag ID,None,Case_ID
Total reads,None,None
QC,None,None
mapping rates(%),None,None
No. of transcripts,None,None
Notes,None,None
Hugo_Symbol,None,None
Chromosome,None,None
Start_Position,None,Case_ID
End_position,None,None
Variant_Classification,None,None
Variant_Type,None,None
Tumor_Sample_Barcode,None,Case_ID
Matched_Norm_Sample_Barcode,None,None
n_ref_count,None,None
t_ref_count,None,None
t_alt_count,None,None
n_alt_count,None,None
t_depth,None,None
n_depth,None,None
Passed_Filters,None,None
Type,None,tissue_type
Sample_id,None,Case_ID
participant,None,Case_ID
TOTAL_READS,None,None
PF_READS,None,None
READ_LENGTH,None,None
TOTAL_BASES,None,None
PF_BASES,None,None
Q20_BASES,None,None
PF_Q20_BASES,None,None
Q30_BASES,None,None
PF_Q30_BASES,None,None
Q20_EQUIVALENT_YIELD,None,None
PF_Q20_EQUIVALENT_YIELD,None,None
