original_paper_variable_names,GDC_format_variable_names,generated_column_type
Column name,None,None
Column definition,None,None
Unnamed: 2,None,None
Unnamed: 3,None,None
Data type,None,None
Definition,None,None
SampleID,Case_ID,Case_ID
Clinical,None,None
Mutation,None,None
CNV,None,None
miRNA-seq,None,None
mRNA-seq,None,None
Label-free Proteome,None,None
TMT Proteome,None,None
TMT Proteome (Normal),None,None
TMT Phosphoproteome,None,None
TMT Phosphoproteome (Normal),None,None
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Mucinous,None,tissue_type
Subsite,None,tissue_or_organ_of_origin
PT,ajcc_pathologic_t,ajcc_pathologic_t
PN,ajcc_pathologic_n,ajcc_pathologic_n
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
CEA,None,None
Vascular_Invasion,vascular_invasion_present,vascular_invasion_present
Lymphatic_Invasion,lymphatic_invasion_present,lymphatic_invasion_present
Perineural_Invasion,perineural_invasion_present,perineural_invasion_present
Synchronous_Tumors,synchronous_malignancy,synchronous_malignancy
Polyps_History,None,None
Polyps_Present,None,tumor_focality
Vital.Status,vital_status,vital_status
Tumor.Status,last_known_disease_status,vital_status
POLE_mutation,None,None
MSH2_mutation,None,None
MSH6_mutation,None,None
PMS2_mutation,None,None
KRAS_mutation,None,None
NRAS_mutation,None,None
BRAF_mutation,None,None
mutation_rate,None,None
Hypermutation_status,None,None
MSI_PCR_Result,None,None
MSmutectFishercall,None,None
CMS,None,None
ProS,None,tumor_grade
UMS,None,tumor_grade
StromalScore,None,None
ImmuneScore,None,None
ESTIMATEScore,None,None
TumorPurity,None,None
