original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,case_submitter_id
immune_deconv,None,None
epithelial_cancer_deconv,None,None
stromal_deconv,None,None
mature_exocrine_endocrine_deconv,None,None
neoplastic_cellularity_histology_estimate,None,None
acinar_histology_estimate,None,None
islet_histology_estimate,None,None
stromal_histology_estimate,None,None
Non_neoplastic_duct_histology_estimate,None,None
Fat_histology_estimate,None,None
inflammation_histology_estimate,None,None
Muscle_histology_estimate,None,None
necrosis_(%OF_TUMOR_WITH_NECROSIS)_histology_estimate,None,None
Bailey,None,tumor_grade
Collisson,None,None
Moffitt,None,tumor_grade
StromalScore_ESTIMATE,None,None
ImmuneScore_ESTIMATE,None,None
mutation_count,None,None
KRAS_VAF,None,None
chr9p_del,None,None
chr18q_del,None,None
chr17p_del,None,None
chrIdx,None,None
MSI_status,None,None
Androgen_pathway,None,None
EGFR_pathway,None,None
Estrogen_pathway,None,None
Hypoxia_pathway,None,None
JAK-STAT_pathway,None,None
MAPK_pathway,None,None
NFkB_pathway,None,None
p53_pathway,None,None
PI3K_pathway,None,None
TGFb_pathway,None,None
TNFa_pathway,None,None
Trail_pathway,None,None
VEGF_pathway,None,None
WNT_pathway,None,None
T cells_MCPCounter,None,None
CD8 T cells_MCPCounter,None,None
Cytotoxic lymphocytes_MCPCounter,None,None
B lineage_MCPCounter,None,None
NK cells_MCPCounter,None,None
Monocytic lineage_MCPCounter,None,None
Myeloid dendritic cells_MCPCounter,None,None
Neutrophils_MCPCounter,None,None
Endothelial cells_MCPCounter,None,None
Fibroblasts_MCPCounter,None,None
tumor_included_for_the_study,None,None
normal_included_for_the_study,None,None
histology_diagnosis,None,primary_diagnosis
age,age_at_diagnosis,age_at_diagnosis
sex,gender,gender
race,race,race
participant_country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
tumor_site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
tumor_necrosis,None,None
lymph_vascular_invasion,vascular_invasion_present; lymphatic_invasion_present,lymphatic_invasion_present
perineural_invasion,perineural_invasion_present,perineural_invasion_present
number_of_lymph_nodes_examined,None,lymph_nodes_positive
number_of_lymph_nodes_positive_for_tumor,lymph_nodes_positive,lymph_nodes_positive
pathologic_staging_regional_lymph_nodes_pn,ajcc_pathologic_n,ajcc_pathologic_n
pathologic_staging_primary_tumor_pt,ajcc_pathologic_t,ajcc_pathologic_t
pathologic_staging_distant_metastasis_pm,ajcc_pathologic_m,ajcc_pathologic_m
clinical_staging_distant_metastasis_cm,ajcc_clinical_m,ajcc_clinical_m
residual_tumor,residual_disease,residual_disease
tumor_stage_pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
additional_pathologic_findings,None,None
bmi,bmi,bmi
alcohol_consumption,alcohol_intensity,alcohol_intensity
