Supplemental Table 1,Unnamed: 1
,
Column,Description
Sample.ID,Unique sample identifier
Sample.IDs,"All unique sample identifier, i.e replicate measurements separated by ‘|’"
TMT.Plex,TMT10 plex number
TMT.Channel,TMT10 reporter ion channel
Tumor.Stage,Tumor stage
Ischemia.Time.in.Minutes,Ischemia time in minutes
PAM50,PAM50 classification
NMF.Cluster,NMF-based multi-omics subtype
NMF.Cluster.Membership.Score,Cluster Membership score indicating the representiveness of a tumor in its cluster
Age.in.Month,Age in month
Gender,Gender
Ethnicity,Ethnicity
ER.Updated.Clinical.Status,Updated clinical ER status (central IHC for 68 tumors)
PR.Clinical.Status,Initial clinical PR status
ERBB2.Updated.Clinical.Status,Updated clinical ERRB2 status (central IHC for 68 tumors)
TNBC.Updated.Clinical.Status,"Triple Negative Breast Cancer (TNBC) status; based on PG ERBB2, updated clinical ER status; initial clinical PR status"
ERBB2.Proteogenomic.Status,Proteogenomic ERBB2 status: gene copy amflification and outlier protein expression
TOP2A.Proteogenomic.Status,Proteogenomic TOP2A status: gene copy amflification and outlier protein expression
ERBB2.Gene.Amplified,Significant gene copy number amplification; based on GISTIC2 calls: thresholded == 2 & continuous > 1
TOP2A.Gene.Amplified,Significant gene copy number amplification; based on GISTIC2 calls: thresholded == 2 & continuous > 1
ESTIMATE.TumorPurity,Tumor purity inferred from mRNA using the ESTIMATE algorithm
CIBERSORT.Absolute.Score,Level of immune cells inferred from mRNA using the CIBERSORT algorithm
ESTIMATE.Immune.Score,Level of immune infiltration inferred from mRNA using the ESTIMATE algorithm
xCell.Immune.Score,Level of immune cells inferred from mRNA using the xCell algorithm
ESTIMATE.Stromal.Score,Level of stromal cells inferred from mRNA using the ESTIMATE algorithm
xCell.Stromal.Score,Level of stromal cells inferred from mRNA using the xCell algorithm
CD3.TILS.Status,CD3 tumor-infiltrating lymphocytes (TILS) status.
CD3.TILS.Counts,CD3+ cell counts
Number.of.non.synonymous.Mutations,Total number of somatic mutations (non-synonymous) in the sample
APOBEC.Signature,Enriched APOBEC signature
Chromosome.INstability.index.CIN.,Chromosome instability index as genome wide measure for copy number alterations
Stemness.Score,Stem cell-like phenotype score
,Columns below indicate the type of non-synonymous mutation for significantly mutated genes (MutSig2CV; q < 0.1) in this cohort: Frame_Shift_Del;Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation;Splice_Site;In_Frame_Del
TP53.Mutation.Type,Type of non-synonymous mutation
PIK3CA.Mutation.Type,Type of non-synonymous mutation
PTEN.Mutation.Type,Type of non-synonymous mutation
MAP3K1.Mutation.Type,Type of non-synonymous mutation
AKT1.Mutation.Type,Type of non-synonymous mutation
GATA3.Mutation.Type,Type of non-synonymous mutation
CBFB.Mutation.Type,Type of non-synonymous mutation
KMT2C.Mutation.Type,Type of non-synonymous mutation
SF3B1.Mutation.Type,Type of non-synonymous mutation
ARID1A.Mutation.Type,Type of non-synonymous mutation
MLLT4.Mutation.Type,Type of non-synonymous mutation
