original_paper_variable_names,GDC_format_variable_names,generated_column_type
Participant,case_submitter_id,case_submitter_id
Type,tissue_type,tissue_type
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Country.of.Origin,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,ethnicity
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
