original_paper_variable_names,GDC_format_variable_names,generated_column_type
SampleID,case_submitter_id,case_submitter_id
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
PT,ajcc_pathologic_t,ajcc_pathologic_t
PN,ajcc_pathologic_n,ajcc_pathologic_n
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Vascular_Invasion,vascular_invasion_present,vascular_invasion_present
Lymphatic_Invasion,lymphatic_invasion_present,lymphatic_invasion_present
Perineural_Invasion,perineural_invasion_present,perineural_invasion_present
Synchronous_Tumors,synchronous_malignancy,synchronous_malignancy
Vital.Status,vital_status,vital_status
Tumor.Status,last_known_disease_status,vital_status
