TargetColumn,Similarity,CandidateColumn
target_0,0.5213514308994018,Krug_C)_QC_WXS_2
target_1,0.4863851771126062,Krug_A)_Metadata_9
target_10,0.5205781512616566,Krug_C)_QC_WXS_0
target_11,0.4923296159803273,Krug_D)_QC_mutation_calls_6
target_12,0.495170061544137,Krug_A)_Metadata_4
target_13,0.46824272433579095,Krug_C)_QC_WXS_10
target_14,0.4677311694170947,Krug_C)_QC_WXS_0
target_15,0.5873250278570099,Krug_D)_QC_mutation_calls_6
target_16,0.2719342801583299,Krug_B)_QC_RNA-seq_3
target_2,0.6204716388976214,Krug_A)_Metadata_11
target_3,0.6377533804683152,Krug_A)_Metadata_11
target_4,0.8111420091634753,Krug_A)_Metadata_10
target_5,0.4471450110082261,Krug_A)_Metadata_12
target_6,0.5938856538956474,Krug_A)_Metadata_26
target_7,0.46526811855244476,Krug_A)_Metadata_46
target_8,0.7147405299277192,Krug_A)_Metadata_4
target_9,0.5907400404234949,Krug_C)_QC_WXS_0
