TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Wang_clinical_data,case_submitter_id,case_id,0.8969793162742107
target,Wang_clinical_data,age_at_diagnosis,path_diag_to_tumor_reoccur_days,0.563212885870959
target,Wang_clinical_data,tumor_focality,tumor_reoccur_after_treatment,0.573295634179011
target,Wang_clinical_data,tumor_largest_dimension_diameter,tumor_laterality,0.5558946097918712
target,Wang_clinical_data,primary_diagnosis,expert_path_review_details,0.49093969053200803
target,Wang_clinical_data,morphology,case_id,0.47945441493026775
target,Wang_clinical_data,tissue_or_organ_of_origin,tumor_site_curated,0.4448786477619342
target,Wang_clinical_data,tumor_code,cause_of_death,0.6062135238179682
target,Wang_survival_analysis,study,Stratification group,0.28303110872825965
target,Wang_clinical_data,race,race,0.7209108058225134
target,Wang_clinical_data,ethnicity,ethnicity,0.8348233265599655
target,Wang_clinical_data,gender,gender,0.9285774979291413
target,Wang_clinical_data,vital_status,vital_status,0.8132276602154693
target,Wang_clinical_data,ajcc_pathologic_t,expert_path_review_details,0.506774577117763
target,Wang_additional_annotations,ajcc_pathologic_n,NF1_alter_status,0.5056811042242015
target,Wang_clinical_data,ajcc_pathologic_stage,expert_path_review_details,0.46698195970109946
target,Wang_additional_annotations,tumor_grade,sample_type,0.5932250728621539
