percent_rhabdoid_features,exposure_source,library_preparation_kit_catalog_number,age_at_last_exposure,platforms,ajcc_pathologic_t,locus,demographics,tumor_confined_to_organ_of_origin,data_formats,submitted_genotyping_arrays
0,Home,NEBNext Ultra II DNA Library Prep Kit for Illumina (E7645),18,Illumina HiSeq,T1,BRCA1 17q21,Age,No,FASTQ,Affymetrix SNP Array 6.0
5,Occupational,KAPA HyperPrep Kit (KK8504),24,Affymetrix GeneChip,T1b2,TP53 17p13.1,Gender,Not Reported,BAM,Illumina HumanOmniExpress-24
10,Secondary,TruSeq DNA PCR-Free Library Preparation Kit (20015964),30,Ion Torrent PGM,T1mi,EGFR 7p11.2,Ethnicity,Unknown,VCF,Agilent SurePrint G3
15,Social,Nextera DNA Flex Library Prep Kit (20018705),35,Oxford Nanopore MinION,T2,KRAS 12p12.1,Socioeconomic Status,Yes,DICOM,Illumina Infinium Omni2.5-8
20,Unknown,QIAseq Ultralow Input Library Kit (180493),40,Illumina NovaSeq,T2a1,APC 5q22.2,Geographic Location,No,NIfTI,Affymetrix CytoScan HD
25,Work,SMARTer Stranded Total RNA-Seq Kit v2 - Pico Input Mammalian (634413),45,Agilent SureSelect,T3a,MYC 8q24.21,Marital Status,No,CSV,Illumina HumanHap550
30,Occupational,TruSeq Stranded mRNA Library Prep (20020594),50,10x Genomics Chromium,T3b,CDKN2A 9p21.3,Education Level,Unknown,TSV,Thermo Fisher OncoScan
35,Occupational,NEBNext Ultra RNA Library Prep Kit for Illumina (E7530),55,PacBio Sequel,T4c,PTEN 10q23.31,Employment Status,Not Reported,HDF5,Illumina Global Screening Array
40,Home,KAPA RNA HyperPrep Kit with RiboErase (HMR8455),60,Illumina MiSeq,TX,RB1 13q14.2,Insurance Status,No,XML,Affymetrix GeneChip Human Mapping 250K Array
45,Occupational,Agilent SureSelectXT Human All Exon V6 (5190-8863),65,Roche 454 GS FLX,Tis (DCIS),HER2 17q12,Family History of Cancer,No,JSON,Illumina HumanExome-12v1_1
50,Occupational,Ion Plus Fragment Library Kit (4471252),70,Affymetrix CytoScan,Tis (DCIS),BCR-ABL 22q11.23,Body Mass Index (BMI),No,MAF,Agilent CGH+SNP Microarray
55,Social,TruSeq Nano DNA Library Prep Kit (20015964),75,NanoString nCounter,TX,MSH2 2p22.2,Smoking Status,No,SAM,Illumina Infinium MethylationEPIC
60,Occupational,Lexogen QuantSeq 3' mRNA-Seq Library Prep Kit (015.96),80,Illumina NextSeq,TX,VHL 3p25.3,Alcohol Consumption,No,BED,Affymetrix Axiom Genome-Wide PanAFR Array
65,Occupational,Clontech SMART-Seq v4 Ultra Low Input RNA Kit for Sequencing (634888),85,BD FACSymphony,T2a1,FLT3 13q12.2,Physical Activity Level,No,GFF,Illumina HiSeq X Ten
70,Occupational,Twist Human Core Exome Kit (101031).,90,Thermo Fisher QuantStudio,T2,ESR1 6q25.1,Dietary Habits,Not Reported,Parquet,Thermo Fisher QuantStudio 3D Digital PCR
