original_paper_variable_names,GDC_format_variable_names
case_id,case_submitter_id
age,age_at_diagnosis
gender,gender
height,height
weight,weight
bmi,bmi
country_of_origin,country_of_residence_at_enrollment
race,race
ethnicity,ethnicity
smoking_history,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality
tumor_site_curated,site_of_resection_or_biopsy;tissue_or_organ_of_origin
vital_status,vital_status
path_diag_to_last_contact_days,days_to_last_follow_up
path_diag_to_death_days,days_to_death
cause_of_death,cause_of_death
tumor_reoccur_after_treatment,progression_or_recurrence
path_diag_to_tumor_reoccur_days,days_to_recurrence
