original_paper_variable_names,GDC_format_variable_names,generated_column_type
Proteomics_Participant_ID,case_submitter_id,Case_ID
Country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Histologic_Grade_FIGO,tumor_grade,tumor_grade
Histologic_type,primary_diagnosis,primary_diagnosis
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m,ajcc_clinical_m
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
FIGO_stage,figo_stage,figo_stage
BMI,bmi,bmi
Age,age_at_diagnosis,age_at_diagnosis
Race,race,race
Ethnicity,ethnicity,ethnicity
Gender,gender,gender
Tumor_Site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Focality,tumor_focality,tumor_focality
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
