Column name,Column definition,Unnamed: 2,Unnamed: 3,Data type,Definition
SampleID,ID of the prospective participant,,,Bin,Binary
Clinical,Clinical data availability,,,Cat,Categorical
Mutation,Mutation data availability,,,Con,Continuous
CNV,Copy number variation (CNV) data availability,,,Ord,Ordinal
miRNA-seq,microRNA-Seq data availability,,,,
mRNA-seq,RNA-Seq data availability,,,,
Label-free Proteome,Label-free proteomics data availability,,,,
TMT Proteome,TMT proteomics data availability,,,,
TMT Proteome (Normal),TMT proteomics for Normal data availability,,,,
TMT Phosphoproteome,TMT Phosphoproteomics data availability,,,,
TMT Phosphoproteome (Normal),TMT Phosphoproteomics for Normal data availability,,,,
Age,Age at procurement,,,,
Gender,Gender of the prospective participant,,,,
Mucinous,Histological type of the tumor,,,,
Subsite,Tumor site,,,,
PT,Primary tumor pathologic spread status,,,,
PN,Primary tumor pathologic spread status,,,,
Stage,Stage of the tumor,,,,
CEA,Carcinoembryonic antigen (CEA) level,,,,
Vascular_Invasion,Presence of vascular invasion,,,,
Lymphatic_Invasion,Presence of lymphatic invasion,,,,
Perineural_Invasion,Presence of perineural invasion,,,,
Synchronous_Tumors,Presence of synchronous colon cancer,,,,
Polyps_History,History of colon polyps,,,,
Polyps_Present,Presence of colon polyps,,,,
Vital.Status,"Vital status (Living, Deceased)",,,,
Tumor.Status,Tumor status,,,,
POLE_mutation,POLE mutation status,,,,
MSH2_mutation,MSH2 mutation status,,,,
MSH6_mutation,MSH6 mutation status,,,,
PMS2_mutation,PMS2 mutation status,,,,
KRAS_mutation,KRAS mutation status,,,,
NRAS_mutation,NRAS mutation status,,,,
BRAF_mutation,BRAF mutation status,,,,
mutation_rate,Mutation frquency,,,,
Hypermutation_status,Hypermutated/non-hypermutated samples,,,,
MSIPCR_Result,PCR based MSI classification,,,,
MSmutectFishercall,MSI classification derived from MSmutect-Fisher analysis of the WXS data,,,,
CMS,Transcriptomic subtype,,,,
proS,Proteomic subtype,,,,
UMS,Unified multi-omics subtypes,,,,
StromalScore,ESTIMATE derived stromal score,,,,
ImmuneScore,ESTIMATE derived immune score,,,,
ESTIMATEScore,ESTIMATE derived immune score,,,,
TumorPurity,ESTIMATE derived tumor purity,,,,
