Unnamed: 0,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
circ_chr10_100260218_100262063_CWF19L1,0.0,4.12928301694497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_100923975_100926019_SLF2,7.80832068916333,8.04226128954696,8.05235067924417,7.92297085348571,8.42349413457339,8.41032414280632,8.63234093015092,8.00371466177598,8.21154765179448,8.21950736876295,8.54600696809238,8.15431181143649,8.51566041984825,8.00786824333334,8.68148440457527,8.24369763910061,7.13154832972926,8.15263976754731,8.06781078378962,7.92854798388255,8.37490906144691
circ_chr10_100937402_100950753_SLF2,0.0,0.0,0.0,0.0,0.0,0.0,6.27593823906443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101667886_101676436_FBXW4,7.15289323212761,7.4198759304222,7.0512633299005,7.40215936690663,7.67249606058335,7.46540314860906,8.22032995487956,7.76101926524048,0.0,8.03468893397434,7.5685641981036,6.08023127201926,8.13898848922863,7.83964471919328,7.52356195605701,6.93144668529867,5.48574882137778,7.19081236791614,7.67701485655572,6.21179097625254,7.47953777389644
circ_chr10_101672915_101676436_FBXW4,0.0,6.00831656373499,0.0,0.0,0.0,0.0,5.23687524536694,0.0,0.0,5.84272746929254,0.0,0.0,0.0,0.0,6.18646094003548,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101792839_101810314_OGA,9.55295722354277,10.0917394971283,0.0,0.0,0.0,9.92794088558735,9.85948819698537,9.83658692519224,0.0,10.3907493575595,10.1417750715765,0.0,9.69621991223613,9.60336671069227,9.52465924141292,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101797980_101810314_OGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95252286107599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101939863_101957732_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_102023477_102025248_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_102023477_102029745_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_102157019_102158214_NOLC1,5.32912359629157,0.0,0.0,0.0,0.0,0.0,6.60895705221829,0.0,0.0,6.14628863717507,4.97315203787724,0.0,5.60258752734256,5.18269229751619,0.0,0.0,0.0,0.0,0.0,0.0,5.17392693199981
circ_chr10_102358039_102359435_GBF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_102872448_102874661_BORCS7-ASMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_103438015_103438808_PDCD11,3.23878685958712,3.99095486039699,3.4867143730307,4.14486214291573,3.94860084749336,3.41818994794577,3.01970191444255,3.10433665981474,3.22032995487956,3.56559717585423,3.52105073690096,0.0,3.3533232911629,3.26002565596146,4.13093086982645,3.83995958748953,1.90689059560852,3.03913839390696,3.4541758931858,0.0,2.94485844580754
circ_chr10_103439746_103440850_PDCD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_104008177_104018908_SLK,6.6396662958693,6.24374523473398,6.91157175172643,0.0,7.39077084942262,6.87614855186387,6.93239194006853,7.09127669436522,0.0,6.76208300356767,7.38439523838807,0.0,7.09655704225857,5.81198471935167,7.64673869830785,0.0,0.0,0.0,0.0,0.0,7.11603199344711
circ_chr10_1080011_1080476_WDR37,0.0,0.0,3.07553263116736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_1084403_1086357_WDR37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_110124017_110130486_ADD3,0.0,9.05707113583549,0.0,0.0,0.0,8.30044408446965,8.54774285452596,0.0,0.0,8.96465854343402,8.79918446706949,0.0,8.65309585467219,8.98293655004793,0.0,0.0,0.0,0.0,0.0,0.0,8.74200621086674
circ_chr10_110124017_110132400_ADD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_110596398_110598290_SMC3,0.0,4.63923216324928,3.64616265715789,4.2637856138908,4.0232553523003,5.43995551747816,5.44691786486603,4.20945336562895,4.80374366850523,5.18626283566979,4.55213110825378,0.0,4.39094277280254,5.15502057835858,4.66732447027863,0.0,0.0,4.44028782084042,5.18547014606694,0.0,4.47767732756531
circ_chr10_110881233_110887886_PDCD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4006019682477,0.0,7.8690694119499,0.0,0.0,11.3096582424587,0.0,0.0,0.0,11.2464674698757,0.0,0.0
circ_chr10_110881233_110890670_PDCD4,0.0,0.0,0.0,0.0,11.335903916309,11.1156029275564,0.0,0.0,0.0,0.0,11.777489579981,10.9103579106083,0.0,0.0,0.0,11.486674154611,0.0,11.859988954177,0.0,11.6542779952612,0.0
circ_chr10_110885253_110890670_PDCD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375821403444,0.0,10.2874815298744,0.0,0.0,0.0,10.1190448600003,6.89056829030659,0.0
circ_chr10_110964125_110985765_SHOC2,8.99197527423717,9.46129526169437,9.1615602179193,9.28916588370758,8.92181119047832,9.40675773771071,9.40296940270789,9.27903013644965,9.16571099248493,9.65011830295957,9.286765661045,8.56342510192657,9.48466180277987,9.33183507183669,9.67821278642137,8.9085127152582,8.20569551907326,9.31530809146265,9.41259101605622,8.41354331099776,9.44939629708678
circ_chr10_114959726_114974385_TRUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_114970368_114974385_TRUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34091827027212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_11509595_11527567_USP6NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_115120185_115129535_ATRNL1,0.0,0.0,0.0,0.0,0.0,4.74738739965272,5.47411151394241,4.34553831007001,0.0,5.73036823634901,0.0,0.0,0.0,0.0,4.93687346182423,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_115120185_115165645_ATRNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_115120185_115171292_ATRNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_115461941_115469329_ATRNL1,0.0,0.0,0.0,0.0,0.0,0.0,3.70597790168252,0.0,0.0,5.48960715674871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_116089741_116096764_GFRA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_116560416_116561625_PNLIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_116625946_116627874_PNLIPRP2,7.50945832868699,0.0,6.35208757799023,7.07446262070454,6.70473366267406,0.0,0.0,6.18130136492636,8.00135189299996,0.0,0.0,7.74940018197365,0.0,0.0,6.18229502502548,6.6409679104499,6.19751159210762,0.0,6.20886837067295,7.58428607887198,0.0
circ_chr10_116625946_116631357_PNLIPRP2,0.0,0.0,4.88996019965864,5.16510798514454,0.0,0.0,0.0,0.0,6.74119729857143,0.0,5.81480674309309,6.57803297169654,0.0,0.0,5.12598165385472,5.13422093976063,5.53791724903408,0.0,5.23764019503539,6.71355835640479,0.0
circ_chr10_117485953_117486478_EMX2OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_118707492_118730410_CACUL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_119038238_119038439_EIF3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_119515509_119527424_RGS10,0.0,0.0,0.0,0.0,3.81352468929781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06177619758669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_11979057_12014184_UPF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_11997672_12014184_UPF2,0.0,7.01781058464053,0.0,0.0,6.97177344719337,6.52089364047342,6.51711818515321,0.0,0.0,7.08767498668722,6.41023933077602,0.0,0.0,0.0,7.14842573740424,0.0,0.0,0.0,0.0,6.98276546258365,0.0
circ_chr10_12001676_12014184_UPF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_120513911_120521095_PLPP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_12081472_12091684_DHTKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_12081472_12101181_DHTKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_12081472_12120267_DHTKD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_121538592_121565704_FGFR2,6.44575980445338,0.0,0.0,5.82756500665014,0.0,5.37538702682888,0.0,0.0,6.84649331596456,0.0,6.97280751368673,0.0,6.21509612097621,0.0,6.7915536333886,6.30724635522662,0.0,7.32174774673526,0.0,0.0,0.0
circ_chr10_12215740_12238485_CDC123,0.0,5.59006301881225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_122619308_122621380_DMBT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_124038515_124046724_CHST15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34536088953964,0.0,0.0,0.0,0.0,0.0,8.09929520433778,0.0,0.0
circ_chr10_124408542_124412200_OAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96162332828695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_124681607_124682379_FAM53B,0.0,7.65040556365859,0.0,0.0,7.51798426673841,0.0,7.10024182015331,6.92682967839631,6.84297883178833,6.762880292917,7.17292748960384,0.0,7.26594316076325,0.0,6.82654848729092,0.0,0.0,0.0,5.9136075118231,0.0,6.19081236791614
circ_chr10_124681607_124696212_FAM53B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_124942457_124943307_ZRANB1,0.0,8.16857184044811,0.0,0.0,0.0,0.0,8.34127418369218,0.0,8.38279692348508,8.32143208321016,0.0,0.0,8.83102216063444,0.0,8.44728990123914,0.0,0.0,0.0,8.46012820656838,0.0,0.0
circ_chr10_125038997_125111093_CTBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_126970702_126990603_DOCK1,0.0,0.0,0.0,4.61294219630467,4.97498811199193,4.4757334309664,5.41751500288509,0.0,0.0,4.10265813136374,5.41886457739032,0.0,5.0518071070133,4.90062533253607,0.0,0.0,0.0,4.41345868800798,4.53977919169849,0.0,4.19377174339668
circ_chr10_126970702_127000307_DOCK1,7.12194787651309,9.05571626351254,7.38284014447524,7.7921395522779,7.41244282477561,8.22530385444276,8.97893921322598,7.41040894985104,7.86610433439313,8.98595575460751,8.53110849238916,0.0,8.76128527336162,9.44308858719176,9.14460726330783,0.0,7.54511893000944,8.66970003620054,9.00261814320247,8.1009251010569,9.58054123641769
circ_chr10_126970702_127061776_DOCK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71390197794766,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_126970702_127127764_DOCK1,10.9809035751595,0.0,11.3614119834146,11.3635215435465,11.025215710199,11.406720541222,0.0,11.1445435363694,11.2013949440263,0.0,11.2854542381783,11.381575395236,10.9777736185709,0.0,11.4507524680131,10.8729749296351,10.7646974618611,10.80325933136,11.0674612513734,10.4203708136112,0.0
circ_chr10_126996748_127000307_DOCK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_13127745_13136897_OPTN,0.0,5.08363887925071,0.0,0.0,5.50525580093216,0.0,6.25908413335355,0.0,0.0,6.40718277234269,6.08915913191124,0.0,6.59439925632925,6.81121411751324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_131934458_131947791_PPP2R2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_15548455_15592304_ITGA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_15816835_15847943_MINDY3,7.31940116685832,7.61404722996419,7.50597030117337,7.24460168773681,6.85885132438965,7.84348142543246,7.61050813880613,7.45261190673891,7.29884157311203,7.82839040156897,7.41709300181709,7.21790924381649,8.25048792204964,7.83352263642478,8.1628444602188,7.08947696448992,0.0,6.91001305342134,7.45434042475248,0.0,7.98834385241041
circ_chr10_15821656_15843272_MINDY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74738739965272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_15821656_15847943_MINDY3,0.0,0.0,0.0,0.0,0.0,0.0,5.47767732756531,0.0,0.0,6.98036810528749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_15833630_15847943_MINDY3,0.0,7.45005649389084,0.0,6.15845821621677,6.17672169288105,6.40650265681288,7.39403389536778,6.52778975157233,6.93487029119203,7.14323013477689,6.26040209302579,0.0,6.12515513132229,6.80361452783102,7.08597694907364,5.94509263053996,0.0,6.35438163211332,6.97659276223859,0.0,7.15775113653965
circ_chr10_16752539_16782084_RSU1,0.0,8.60710834359133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63513766113207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_17603560_17604047_HACD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_17704431_17705741_STAM,4.07210580048042,4.90929308582382,0.0,0.0,2.51601514700366,4.50716034911752,5.02369891726641,4.33413917883824,0.0,5.61529857909212,4.90689059560852,0.0,4.13504228623365,5.45220004940622,4.34127418369217,0.0,0.0,0.0,0.0,0.0,5.92457500339274
circ_chr10_179994_221356_ZMYND11,0.0,0.0,0.0,0.0,0.0,0.0,3.98367769469807,0.0,0.0,4.99638874644762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_179994_249088_ZMYND11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
