NMF cluster (p<0.05),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,counts,,,,,p-values (Bonferroni corrected),,,,
variable,category,Basal.inclusive.counts,Classical.counts,EMT.enriched.counts,Inflamed.secretory.counts,Proliferative.primitive.counts,Basal.inclusive.pval,Classical.pval,EMT.enriched.pval,Inflamed.secretory.pval,Proliferative.primitive.pval
CIMP.status.meth,CIMP-high,5,16,1,0,2,1,0.00289022574432088,1,1,1
CIMP.status.meth,CIMP-intermediate,7,2,11,17,1,1,1,1,0.000110121446619861,1
CIMP.status.meth,CIMP-low,3,3,1,0,8,1,1,1,1,0.0141483486690702
CUL3.NFE2L2.KEAP1.mutation.status,1,1,15,1,1,3,1,0.00190907074281118,1,1,1
PIK3CA.pathway.alteration.status,1,7,20,6,3,2,1,0.00943680683693949,1,1,1
SOX2.scna.wxs,2,5,21,4,1,1,1,4.96329100957357e-06,1,1,1
TP63.scna.wxs,2,5,18,3,3,1,1,0.00363557094803119,1,1,1
Subtype.TCGA.rna,Basal,13,0,7,2,0,0.000971112803653828,1,1,1,1
Subtype.TCGA.rna,Classical,3,24,0,1,2,1,1.1294428530098e-12,1,1,1
Subtype.TCGA.rna,Primitive,0,0,0,0,8,1,1,1,1,2.8702519724765e-06
Subtype.TCGA.rna,Secretory,0,0,5,13,1,1,1,1,6.36328730257838e-05,1
NMF.cluster,Basal inclusive,17,0,0,0,0,3.82616649956944e-15,1,1,1,1
NMF.cluster,Classical,0,24,0,0,0,1,1.90213945182907e-18,1,1,1
NMF.cluster,EMT enriched,0,0,13,0,0,1,1,1.38980032144717e-12,1,1
NMF.cluster,Inflamed secretory,0,0,0,17,0,1,1,1,3.82616649956944e-15,1
NMF.cluster,Proliferative primitive,0,0,0,0,11,1,1,1,1,4.42776128050799e-11
ImmuneCluster,Hot Tumor,0,1,2,14,3,1,1,1,5.72211921374529e-06,1
