original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,Case_ID
immune_deconv,None,None
epithelial_cancer_deconv,None,None
stromal_deconv,None,None
mature_exocrine_endocrine_deconv,None,None
neoplastic_cellularity_histology_estimate,None,None
acinar_histology_estimate,None,None
islet_histology_estimate,None,None
stromal_histology_estimate,None,None
Non_neoplastic_duct_histology_estimate,None,None
Fat_histology_estimate,None,None
inflammation_histology_estimate,None,None
Muscle_histology_estimate,None,None
necrosis_(%OF_TUMOR_WITH_NECROSIS)_histology_estimate,None,None
Bailey,None,tumor_grade
Collisson,None,None
Moffitt,None,tumor_grade
StromalScore_ESTIMATE,None,None
ImmuneScore_ESTIMATE,None,None
mutation_count,None,None
KRAS_VAF,None,None
chr9p_del,None,None
chr18q_del,None,None
chr17p_del,None,None
chrIdx,None,None
MSI_status,None,None
Androgen_pathway,None,None
EGFR_pathway,None,None
Estrogen_pathway,None,None
Hypoxia_pathway,None,None
JAK-STAT_pathway,None,None
MAPK_pathway,None,None
NFkB_pathway,None,None
p53_pathway,None,None
PI3K_pathway,None,None
TGFb_pathway,None,None
TNFa_pathway,None,None
Trail_pathway,None,None
VEGF_pathway,None,None
WNT_pathway,None,None
T cells_MCPCounter,None,None
CD8 T cells_MCPCounter,None,None
Cytotoxic lymphocytes_MCPCounter,None,None
B lineage_MCPCounter,None,None
NK cells_MCPCounter,None,None
Monocytic lineage_MCPCounter,None,None
Myeloid dendritic cells_MCPCounter,None,None
Neutrophils_MCPCounter,None,None
Endothelial cells_MCPCounter,None,None
Fibroblasts_MCPCounter,None,None
tumor_included_for_the_study,None,None
normal_included_for_the_study,None,None
histology_diagnosis,None,primary_diagnosis
age,age_at_diagnosis,age_at_diagnosis
sex,gender,gender
race,race,race
participant_country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
tumor_site,site_of_resection_or_biopsy; tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
tumor_necrosis,None,None
lymph_vascular_invasion,vascular_invasion_present; lymphatic_invasion_present,lymphatic_invasion_present
perineural_invasion,perineural_invasion_present,perineural_invasion_present
number_of_lymph_nodes_examined,None,lymph_nodes_positive
number_of_lymph_nodes_positive_for_tumor,lymph_nodes_positive,lymph_nodes_positive
pathologic_staging_regional_lymph_nodes_pn,ajcc_pathologic_n,ajcc_pathologic_n
pathologic_staging_primary_tumor_pt,ajcc_pathologic_t,ajcc_pathologic_t
pathologic_staging_distant_metastasis_pm,ajcc_pathologic_m,ajcc_pathologic_m
clinical_staging_distant_metastasis_cm,ajcc_clinical_m,ajcc_clinical_m
residual_tumor,residual_disease,residual_disease
tumor_stage_pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
additional_pathologic_findings,None,None
bmi,bmi,bmi
alcohol_consumption,alcohol_intensity,alcohol_intensity
tobacco_smoking_history,tobacco_smoking_status,tobacco_smoking_status
medical_condition,None,primary_diagnosis
Neoplastic_cellularity,None,None
Acinar_fraction,None,None
Islet_fraction,None,None
Stromal_fraction,None,None
Non_neoplastic_duct,None,None
Fat_fraction,None,None
Inflammation_fraction,None,None
Muscle_fraction,None,None
follow_up_days,None,days_to_last_follow_up
vital_status,vital_status,vital_status
is_this_patient_lost_to_follow_up,None,None
cause_of_death,cause_of_death,cause_of_death
TMT_set,None,None
channel_name,None,None
sample_type,None,tissue_type
Unnamed: 0,None,None
C3L-03394,None,None
C3N-03428,None,None
C3L-02112,None,None
C3N-01719,None,None
C3N-03670,None,None
C3N-02998,None,None
C3N-03211,None,None
C3L-01052,None,None
C3N-00512,None,None
C3N-02295,None,None
C3N-01012,None,None
C3N-01502,None,None
C3L-01053,None,None
C3L-03632,None,None
C3L-00401,None,None
C3L-01054,None,None
C3N-00517,None,None
C3N-03440,None,None
C3L-04495,None,None
C3N-04284,None,None
C3N-00957,None,None
C3L-03395,None,None
C3N-00303,None,None
C3N-00513,None,None
C3N-01166,None,None
C3N-01382,None,None
C3N-01011,None,None
C3L-04473,None,None
C3N-01997,None,None
C3L-00640,None,None
C3L-00189,None,None
C3N-01998,None,None
C3L-01036,None,None
C3N-03069,None,None
C3L-00881,None,None
C3N-01715,None,None
C3N-03426,None,None
C3N-00198,None,None
C3N-01380,None,None
C3N-01388,None,None
C3L-03388,None,None
C3N-02589,None,None
C3L-03356,None,None
C3N-02944,None,None
C3N-00436,None,None
C3L-00928,None,None
C3L-01124,None,None
C3N-02592,None,None
C3N-01383,None,None
C3N-03439,None,None
C3N-03006,None,None
C3N-01165,None,None
C3N-03173,None,None
C3L-04475,None,None
C3L-04853,None,None
C3L-02115,None,tumor_largest_dimension_diameter
C3L-02701,None,None
C3L-00102,None,None
C3N-01375,None,None
C3N-03884,None,None
C3N-01168,None,None
C3L-00622,None,None
