original_paper_variable_names,GDC_format_variable_names,column_name,generated_column_type
Proteomics_Participant_ID,case_submitter_id,Proteomics_Participant_ID,Case_ID
Country,country_of_residence_at_enrollment,Country,country_of_residence_at_enrollment
Histologic_Grade_FIGO,tumor_grade,Histologic_Grade_FIGO,tumor_grade
Histologic_type,primary_diagnosis,Histologic_type,primary_diagnosis
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t,Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n,Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m,Clin_Stage_Dist_Mets-cM,None
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m,Path_Stage_Dist_Mets-pM,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage,tumor_Stage-Pathological,ajcc_pathologic_stage
FIGO_stage,figo_stage,FIGO_stage,figo_stage
BMI,bmi,BMI,bmi
Age,age_at_diagnosis,Age,age_at_diagnosis
Race,race,Race,race
Ethnicity,ethnicity,Ethnicity,ethnicity
Gender,gender,Gender,gender
Tumor_Site,tissue_or_organ_of_origin,Tumor_Site,tissue_or_organ_of_origin
Tumor_Focality,tumor_focality,Tumor_Focality,tumor_focality
Tumor_Size_cm,tumor_largest_dimension_diameter,Tumor_Size_cm,tumor_largest_dimension_diameter
