target,candidate,CandidateColumn,Similarity
gender,Gender,Gender,1.0
ethnicity,Ethnicity,Ethnicity,1.0
race,Race,Race,1.0
tumor_focality,Tumor_Focality,Tumor_Focality,1.0
tumor_largest_dimension_diameter,Tumor_Size_cm,Tumor_Size_cm,0.71
tumor_code,N/A,Tumor_Site,0.71
tumor_grade,Histologic_Grade_FIGO,Tumor_Site,0.68
ajcc_pathologic_stage,tumor_Stage-Pathological,tumor_Stage-Pathological,0.6
case_submitter_id,Proteomics_Participant_ID,Case_excluded,0.57
age_at_diagnosis,Age,Age,0.55
morphology,Histologic_type,Histologic_type,0.5
tissue_or_organ_of_origin,Tumor_Site,Tumor_Site_Other,0.49
primary_diagnosis,N/A,Path_Stage_Primary_Tumor-pT,0.49
vital_status,N/A,MSI_status,0.45
ajcc_pathologic_t,Path_Stage_Primary_Tumor-pT,Pathway_activity_JAK.STAT,0.45
ajcc_pathologic_n,Path_Stage_Reg_Lymph_Nodes-pN,Pathway_activity_JAK.STAT,0.44
study,N/A,Race,0.36

Precision: 0.6153846153846154, Recall: 0.6153846153846154, F1: 0.6153846153846154,
