target,candidate,CandidateColumn,Similarity
tumor_focality,Tumor_Focality,Tumor_Focality,0.95
ethnicity,Ethnicity,Ethnicity,0.82
gender,Gender,Gender,0.82
ajcc_pathologic_stage,tumor_Stage-Pathological,tumor_Stage-Pathological,0.77
tumor_largest_dimension_diameter,Tumor_Size_cm,Tumor_Size_cm,0.69
race,Race,Race,0.68
primary_diagnosis,N/A,Histologic_type,0.66
tumor_grade,Histologic_Grade_FIGO,tumor_Stage-Pathological,0.65
tumor_code,N/A,WGS_tumor_sample_type,0.61
age_at_diagnosis,Age,Age,0.6
ajcc_pathologic_t,Path_Stage_Primary_Tumor-pT,tumor_Stage-Pathological,0.55
tissue_or_organ_of_origin,Tumor_Site,Tumor_Site,0.54
case_submitter_id,Proteomics_Participant_ID,Proteomics_Participant_ID,0.54
ajcc_pathologic_n,Path_Stage_Reg_Lymph_Nodes-pN,Path_Stage_Reg_Lymph_Nodes-pN,0.52
morphology,Histologic_type,idx,0.43
vital_status,N/A,Tumor_purity,0.41
study,N/A,Histologic_Grade_FIGO,0.28

Precision: 0.7692307692307693, Recall: 0.7692307692307693, F1: 0.7692307692307693,
