column_name,generated_column_type
case_id,Case_ID
immune_deconv,None
epithelial_cancer_deconv,None
stromal_deconv,None
mature_exocrine_endocrine_deconv,None
neoplastic_cellularity_histology_estimate,None
acinar_histology_estimate,None
islet_histology_estimate,None
stromal_histology_estimate,None
Non_neoplastic_duct_histology_estimate,None
Fat_histology_estimate,None
inflammation_histology_estimate,None
Muscle_histology_estimate,None
necrosis_(%OF_TUMOR_WITH_NECROSIS)_histology_estimate,None
Bailey,tumor_grade
Collisson,None
Moffitt,tumor_grade
StromalScore_ESTIMATE,None
ImmuneScore_ESTIMATE,None
mutation_count,None
KRAS_VAF,None
chr9p_del,None
chr18q_del,None
chr17p_del,None
chrIdx,None
MSI_status,None
Androgen_pathway,None
EGFR_pathway,None
Estrogen_pathway,None
Hypoxia_pathway,None
JAK-STAT_pathway,None
MAPK_pathway,None
NFkB_pathway,None
p53_pathway,None
PI3K_pathway,None
TGFb_pathway,None
TNFa_pathway,None
Trail_pathway,None
VEGF_pathway,None
WNT_pathway,None
T cells_MCPCounter,None
CD8 T cells_MCPCounter,None
Cytotoxic lymphocytes_MCPCounter,None
B lineage_MCPCounter,None
NK cells_MCPCounter,None
Monocytic lineage_MCPCounter,None
Myeloid dendritic cells_MCPCounter,None
Neutrophils_MCPCounter,None
Endothelial cells_MCPCounter,None
Fibroblasts_MCPCounter,None
case_id,Case_ID
tumor_included_for_the_study,None
normal_included_for_the_study,None
histology_diagnosis,primary_diagnosis
age,age_at_diagnosis
sex,gender
race,race
participant_country,country_of_residence_at_enrollment
tumor_site,tissue_or_organ_of_origin
tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter
tumor_necrosis,None
lymph_vascular_invasion,lymphatic_invasion_present
perineural_invasion,perineural_invasion_present
number_of_lymph_nodes_examined,lymph_nodes_positive
number_of_lymph_nodes_positive_for_tumor,lymph_nodes_positive
pathologic_staging_regional_lymph_nodes_pn,ajcc_pathologic_n
pathologic_staging_primary_tumor_pt,ajcc_pathologic_t
pathologic_staging_distant_metastasis_pm,ajcc_pathologic_m
clinical_staging_distant_metastasis_cm,ajcc_clinical_m
residual_tumor,residual_disease
tumor_stage_pathological,ajcc_pathologic_stage
additional_pathologic_findings,None
bmi,bmi
alcohol_consumption,alcohol_intensity
tobacco_smoking_history,tobacco_smoking_status
medical_condition,primary_diagnosis
Neoplastic_cellularity,None
Acinar_fraction,None
Islet_fraction,None
Stromal_fraction,None
Non_neoplastic_duct,None
Fat_fraction,None
Inflammation_fraction,None
Muscle_fraction,None
follow_up_days,days_to_last_follow_up
vital_status,vital_status
is_this_patient_lost_to_follow_up,None
cause_of_death,cause_of_death
TMT_set,None
channel_name,None
case_id,Case_ID
sample_type,tissue_type
Unnamed: 0,None
C3L-03394,None
C3N-03428,None
C3L-02112,None
C3N-01719,None
C3N-03670,None
C3N-02998,None
C3N-03211,None
C3L-01052,None
C3N-00512,None
C3N-02295,None
C3N-01012,None
C3N-01502,None
C3L-01053,None
C3L-03632,None
C3L-00401,None
C3L-01054,None
C3N-00517,None
C3N-03440,None
C3L-04495,None
C3N-04284,None
C3N-00957,None
C3L-03395,None
C3N-00303,None
C3N-00513,None
C3N-01166,None
C3N-01382,None
C3N-01011,None
C3L-04473,None
C3N-01997,None
C3L-00640,None
C3L-00189,None
C3N-01998,None
C3L-01036,None
C3N-03069,None
C3L-00881,None
C3N-01715,None
C3N-03426,None
C3N-00198,None
C3N-01380,None
C3N-01388,None
C3L-03388,None
C3N-02589,None
C3L-03356,None
C3N-02944,None
C3N-00436,None
C3L-00928,None
C3L-01124,None
C3N-02592,None
C3N-01383,None
C3N-03439,None
C3N-03006,None
C3N-01165,None
C3N-03173,None
C3L-04475,None
C3L-04853,None
C3L-02115,tumor_largest_dimension_diameter
C3L-02701,None
C3L-00102,None
C3N-01375,None
C3N-03884,None
C3N-01168,None
C3L-00622,None
C3N-01381,None
C3L-01703,None
C3L-02118,None
C3L-03628,None
C3N-03780,None
C3L-01637,None
C3N-04119,None
C3L-02899,bmi
C3N-02971,None
C3N-02573,None
C3L-00819,None
C3N-01714,None
C3L-02890,None
C3L-02116,None
C3L-01453,tumor_largest_dimension_diameter
C3L-03635,None
C3N-00518,None
C3N-03840,None
C3L-02606,None
C3N-03061,None
C3L-04848,None
C3N-00514,None
C3L-02897,None
C3L-01687,None
C3N-02940,None
C3L-04080,None
C3N-03853,None
C3N-04283,None
C3L-02109,None
C3L-03630,tumor_largest_dimension_diameter
C3L-01662,None
C3N-00709,None
C3N-03007,None
C3N-03665,None
C3L-01598,None
C3L-00599,tumor_largest_dimension_diameter
C3L-01051,None
C3N-01716,None
C3N-03839,None
C3L-04479,None
C3L-00625,None
C3N-03754,None
C3L-01037,None
C3N-03666,None
C3N-04126,None
C3L-00017,None
C3L-01689,None
C3L-04027,None
C3N-02585,None
C3N-03039,None
C3N-03086,None
C3L-02463,None
C3N-00249,None
C3L-00589,None
C3N-00302,None
C3L-03743,None
C3N-00511,None
C3N-03190,None
C3N-00516,None
C3L-02610,None
C3N-02579,None
C3N-03000,None
C3L-00598,None
C3N-03430,None
C3L-02809,None
C3N-02768,None
C3L-03123,None
C3N-02010,None
C3L-01031,None
C3N-01167,None
C3L-01971,None
C3L-02604,None
C3L-00277,None
C3L-01328,None
C3L-03639,tumor_largest_dimension_diameter
C3N-04282,None
C3L-04072,None
C3L-02613,tumor_largest_dimension_diameter
Unnamed: 0,None
C3L-02610,None
C3N-01998,None
C3L-01637,None
C3L-02606,None
C3N-00436,None
C3L-00819,None
C3N-00518,None
C3L-00102,None
C3N-00517,None
C3L-00640,None
C3N-01011,None
C3L-03123,None
C3N-02768,None
C3L-02809,None
C3N-02589,None
C3N-03780,None
C3N-03440,None
C3N-02010,None
C3L-04072,None
C3N-03069,None
C3L-02899,None
Case_ID,Case_ID
Type,tissue_type
TMT_Set,None
TMT_Channel,None
Proteins,None
Peptides,None
Phosphoproteins,None
Phosphopeptides,None
Phosphosites,None
N-Glycoproteins,None
N-Glycopeptides,None
N-Glycosites,None
O-Glycoproteins,None
O-Glycopeptides,None
