TargetColumn,Similarity,CandidateColumn
target_0,0.6155870834133177,Cao_TMT_labeling_scheme_2
target_1,0.4702546732810242,Cao_Clinical_data_3
target_10,0.7909553033593035,Cao_Clinical_data_9
target_11,0.6628997339360623,Cao_Clinical_data_10
target_12,0.47215153482972017,Cao_Clinical_data_3
target_13,0.37351912294356726,Cao_Clinical_data_3
target_14,0.40440813122064,Cao_Clinical_data_8
target_15,0.5758626737385193,Cao_Clinical_data_10
target_16,0.3360652686533141,Cao_Clinical_data_2
target_2,0.5831952796724339,Cao_Clinical_data_6
target_3,0.4299920153172825,Cao_Clinical_data_6
target_4,0.47322687940777497,Cao_Clinical_data_5
target_5,0.6856744836498998,Cao_Clinical_data_36
target_6,0.419958082109793,Cao_Clinical_data_17
target_7,0.40723748159013207,Cao_Clinical_data_3
target_8,0.538919649551109,Cao_Clinical_data_21
target_9,0.6181987115425602,Cao_Clinical_data_10
