TargetColumn,Similarity,CandidateColumn
target_0,0.6179873322759312,Huang_Meta_table_0
target_1,0.36381464480868975,Huang_Meta_table_23
target_10,0.7909553033593035,Huang_Meta_table_15
target_11,0.6621920898993447,Huang_Meta_table_16
target_12,0.39693372504504487,Huang_Meta_table_21
target_13,0.38874370270910963,Huang_Meta_table_18
target_14,0.4546043716122703,Huang_Meta_table_13
target_15,0.579162649893025,Huang_Meta_table_16
target_16,0.28903843404644736,Huang_Meta_table_20
target_2,0.3348413008104437,Huang_Meta_table_2
target_3,0.24269714093159145,Huang_Meta_table_3
target_4,0.5712871582006795,Huang_Meta_table_2
target_5,0.35419108185601267,Huang_Meta_table_31
target_6,0.4236114189929723,Huang_Meta_table_27
target_7,0.4424337496288927,Huang_Meta_table_26
target_8,0.5637872822716032,Huang_Meta_table_20
target_9,0.6123854065007135,Huang_Meta_table_16
